,app_num,1,pub_num
0,11638293,227008,8087094
1,11838515,227465,8087095
2,11037749,228374,8087096
3,12048799,228886,8087097
4,12242434,229291,8087098
5,11970000,229829,8087099
6,11944942,230731,8087100
7,11939738,231219,8087101
8,12290510,231919,8087102
9,11581900,232341,8087103
10,12380542,233129,8087104
11,12623451,233275,8087105
12,12398921,233436,8087106
13,12172070,233677,8087107
14,11753738,233952,8087108
15,12581251,234473,8087109
16,13101342,234879,8087110
17,12986044,235280,8087111
18,12686275,235806,8087112
19,12211507,236014,8087113
20,11659326,236379,8087114
21,12429846,236728,8087115
22,11985091,237238,8087116
23,11751413,237470,8087117
24,12528991,241315,8087118
25,12327656,241626,8087119
26,12824143,241959,8087120
27,11280962,242156,8087121
28,12215309,242794,8087122
29,12803954,243195,8087123
30,11726325,243451,8087124
31,11961278,243791,8087125
32,12051198,244053,8087126
33,12159209,245210,8087127
34,12421721,245782,8087128
35,12293007,246193,8087129
36,12171702,246858,8087130
37,12806718,247015,8087131
38,13023069,247425,8087132
39,12712865,247820,8087133
40,11793657,248305,8087134
41,12792167,248640,8087135
42,11905831,249000,8087136
43,12634701,249462,8087137
44,12322890,249859,8087138
45,12483461,250547,8087139
46,12936525,250822,8087140
47,11763266,251249,8087141
48,12166329,251655,8087142
49,12214345,252159,8087143
50,11072688,252575,8087144
51,11377548,253116,8087145
52,11971992,253537,8087146
53,12869359,253754,8087147
54,11453037,259794,8087148
55,12248079,261628,8087149
56,12297943,261950,8087150
57,12373908,262202,8087151
58,12488590,262868,8087152
59,12489315,263139,8087153
60,11889763,263400,8087154
61,12509333,263729,8087155
62,12632051,264434,8087156
63,11975266,264946,8087157
64,12289579,265383,8087158
65,12005214,265598,8087159
66,11941111,265851,8087160
67,12400880,266118,8087161
68,12569408,266544,8087162
69,12092806,275259,8087163
70,12120076,275521,8087164
71,12713423,275878,8087165
72,12760109,277888,8087166
73,11817889,278399,8087167
74,12505510,278716,8087168
75,11791790,279379,8087169
76,11561213,279794,8087170
77,12220545,280286,8087171
78,12239030,280597,8087172
79,12343573,281034,8087173
80,10338519,281538,8087174
81,12437156,281839,8087175
82,12824716,282302,8087176
83,12659049,282806,8087177
84,12642801,283348,8087178
85,12834814,283928,8087179
86,12896865,284183,8087180
87,12140921,284441,8087181
88,12593639,284944,8087182
89,12222627,285431,8087183
90,11495796,285668,8087184
91,12222628,286131,8087185
92,12075645,286369,8087186
93,12265878,286660,8087187
94,11872695,287708,8087188
95,12961265,287957,8087189
96,12646016,288584,8087190
97,12426992,288814,8087191
98,12166850,289256,8087192
99,12411610,289634,8087193
100,12409783,289945,8087194
101,12478961,290859,8087195
