,app_num,1,pgpub_num
0,14789882,7,20170000001
1,14755945,125,20170000002
2,14755919,400,20170000003
3,14755034,642,20170000004
4,14788318,800,20170000005
5,14788216,978,20170000006
6,14755816,1167,20170000007
7,14755741,1356,20170000008
8,14755013,1556,20170000009
9,14788246,1745,20170000010
10,15265874,1945,20170000011
11,15266111,2153,20170000012
12,14788087,2283,20170000013
13,14754811,2453,20170000014
14,14755890,2623,20170000015
15,14755045,2812,20170000016
16,14788287,2949,20170000017
17,14755409,3086,20170000018
18,14755111,3202,20170000019
19,14755552,3350,20170000020
20,15145531,3477,20170000021
21,15190652,3786,20170000022
22,15232839,3947,20170000023
23,14790906,4147,20170000024
24,15258406,4317,20170000025
25,15199032,4489,20170000026
26,14545890,4794,20170000027
27,15192631,4887,20170000028
28,15269151,5076,20170000029
29,15113598,5278,20170000030
30,15195595,5605,20170000031
31,15198987,5741,20170000032
32,14791288,5961,20170000033
33,15113577,6138,20170000034
34,15185270,6265,20170000035
35,15186960,6416,20170000036
36,15200212,6657,20170000037
37,15265843,6933,20170000038
38,15039846,7168,20170000039
39,15266760,7588,20170000040
40,15125698,7823,20170000041
41,14788978,7988,20170000042
42,15198592,8079,20170000043
43,15197219,8265,20170000044
44,15104946,8489,20170000045
45,15268312,8642,20170000046
46,15268230,8809,20170000047
47,14788421,8902,20170000048
48,14801692,9012,20170000049
49,15234663,9146,20170000050
50,14788368,9447,20170000051
51,14788391,9751,20170000052
52,14788407,10055,20170000053
53,14788338,10359,20170000054
54,14788375,10618,20170000055
55,14788422,10877,20170000056
56,14788453,11136,20170000057
57,14788480,11451,20170000058
58,14788513,11765,20170000059
59,14788537,12079,20170000060
60,15179038,12338,20170000061
61,15179085,12651,20170000062
62,15179094,12963,20170000063
63,15179116,13275,20170000064
64,15179135,13587,20170000065
65,15179161,13900,20170000066
66,15179206,14213,20170000067
67,15179302,14526,20170000068
68,15179332,14838,20170000069
69,15179425,15151,20170000070
70,15179456,15464,20170000071
71,15179486,15777,20170000072
72,15198009,16090,20170000073
73,15100248,16426,20170000074
74,15114120,16556,20170000075
75,15106735,16694,20170000076
76,15115112,16874,20170000077
77,15201342,17024,20170000078
78,15196285,17240,20170000079
79,15197960,17385,20170000080
80,14788094,17616,20170000081
81,14788603,17944,20170000082
82,14790241,18234,20170000083
83,14791394,18376,20170000084
84,14921297,18469,20170000085
85,15198060,18570,20170000086
86,15266778,18715,20170000087
87,14790067,18875,20170000088
88,15192266,18968,20170000089
89,14791179,19192,20170000090
90,15062858,19285,20170000091
91,15038999,19588,20170000092
92,14900261,19757,20170000093
93,14788733,19927,20170000094
94,14955092,20082,20170000095
95,14754871,20212,20170000096
96,15113796,20375,20170000097
97,15264299,20509,20170000098
98,15200121,20714,20170000099
99,15190472,20878,20170000100
100,15202564,20985,20170000101
101,15156475,21196,20170000102
102,15200354,21449,20170000103
103,15268431,21598,20170000104
104,15199062,21748,20170000105
105,15265249,21882,20170000106
106,15266608,22324,20170000107
107,15196174,22583,20170000108
108,15200206,22708,20170000109
109,15125918,22857,20170000110
110,15113037,23017,20170000111
111,15107206,23250,20170000112
112,15198574,23368,20170000113
113,15202130,23501,20170000114
114,15106626,23763,20170000115
115,15101581,23998,20170000116
116,15267459,24248,20170000117
117,15198659,24629,20170000118
118,15106597,24863,20170000119
119,15107388,25233,20170000120
120,15106489,25587,20170000121
121,15247254,25881,20170000122
122,15234229,26102,20170000123
123,15198542,26434,20170000124
124,15198623,26597,20170000125
125,15208312,26801,20170000126
126,15106340,26940,20170000127
127,15079311,27134,20170000128
128,14755185,27347,20170000129
129,15205266,27726,20170000130
130,15234143,28020,20170000131
131,15107018,28299,20170000132
132,15107038,28523,20170000133
133,15064921,28792,20170000134
134,15100182,28942,20170000135
135,15265796,29227,20170000136
136,15268437,29490,20170000137
137,15106430,29739,20170000138
138,14788048,29985,20170000139
139,15106738,30121,20170000140
140,15125933,30284,20170000141
141,14715485,30438,20170000142
142,15115315,30761,20170000143
143,15014507,30926,20170000144
144,15268800,31083,20170000145
145,15264538,31992,20170000146
146,14788893,32233,20170000147
147,15107408,32380,20170000148
148,15150087,32633,20170000149
149,15106441,32862,20170000150
150,15265379,33065,20170000151
151,15107214,33364,20170000152
152,15106415,33557,20170000153
153,15184061,33720,20170000154
154,15184088,33817,20170000155
155,15184111,33914,20170000156
156,15184135,34011,20170000157
157,15184322,34108,20170000158
158,14791228,34205,20170000159
159,15169785,34315,20170000160
160,15200869,34544,20170000161
161,15106425,34747,20170000162
162,15198096,34890,20170000163
163,15106403,35173,20170000164
164,15265656,35471,20170000165
165,15220165,35663,20170000166
166,15022506,36004,20170000167
167,15267336,36204,20170000168
168,15199790,36530,20170000169
169,15038946,36851,20170000170
170,15038779,37032,20170000171
171,15202410,37335,20170000172
172,15202402,37597,20170000173
173,15106446,37889,20170000174
174,15267226,38092,20170000175
175,14902496,38314,20170000176
176,15100290,38549,20170000177
177,15178149,38729,20170000178
178,15113032,39142,20170000179
179,15113036,39375,20170000180
180,15039910,39721,20170000181
181,15100049,39959,20170000182
182,15204156,40165,20170000183
183,15040808,40332,20170000184
184,15113098,40656,20170000185
185,14790521,40864,20170000186
186,14690715,40989,20170000187
187,14755205,41082,20170000188
188,15106878,41320,20170000189
189,14788784,41480,20170000190
190,15114084,41602,20170000191
191,15202293,41741,20170000192
192,15185245,41960,20170000193
193,14790011,42094,20170000194
194,15262366,42234,20170000195
195,14789845,42499,20170000196
196,15265720,42713,20170000197
197,14789132,42950,20170000198
198,15172823,43126,20170000199
199,15264969,43335,20170000200
200,15266269,43713,20170000201
201,15198049,43988,20170000202
202,14790235,44155,20170000203
203,14754882,44269,20170000204
204,14789937,44360,20170000205
205,15212303,44508,20170000206
206,14605213,44699,20170000207
207,15093505,44959,20170000208
208,14755053,45138,20170000209
209,15107265,45252,20170000210
210,15105629,45480,20170000211
211,15266056,45780,20170000212
212,15107430,45982,20170000213
213,15196983,46239,20170000214
214,15268388,46532,20170000215
215,15268086,46833,20170000216
216,15266074,47325,20170000217
217,15268925,47563,20170000218
218,15198390,47841,20170000219
219,15065582,48007,20170000220
220,15073577,48170,20170000221
221,15006895,48299,20170000222
222,15200812,48520,20170000223
223,15265496,48617,20170000224
224,15267160,48964,20170000225
225,15125597,49211,20170000226
226,15200579,49358,20170000227
227,14188564,49671,20170000228
228,15268467,49961,20170000229
229,14792328,50256,20170000230
230,15100291,50358,20170000231
231,15196673,50541,20170000232
232,15200568,50771,20170000233
233,15193642,50956,20170000234
234,15189820,51058,20170000235
235,15113711,51305,20170000236
236,15121689,51518,20170000237
237,14545895,51712,20170000238
238,15106382,51892,20170000239
239,15196199,52015,20170000240
